region,grade,subject,domain,avg_score,pct_below,n_students
Beirut,1,Arabic,الكتابة والتعبير الكتابي,20.0,86.09,640
Beirut,1,Arabic,فهم المقروء,26.84,79.53,640
Beirut,1,English,Reading Comprehension,48.27,48.85,567
Beirut,1,English,Writing,27.37,77.95,567
Beirut,1,French,Compréhension écrite,37.26,68.92,74
Beirut,1,French,Lecture de mots,12.99,83.12,77
Beirut,1,French,Lecture de mots dans une phrase,9.09,90.91,77
Beirut,1,French,Nom de la lettre,38.2,58.44,77
Beirut,1,French,Son du graphème,33.87,66.23,77
Beirut,1,French,Écriture et Production d’écrits,11.89,94.59,74
Bekaa,1,Arabic,الكتابة والتعبير الكتابي,28.07,74.51,2048
Bekaa,1,Arabic,فهم المقروء,31.3,68.99,2048
Bekaa,1,English,Reading Comprehension,54.82,42.08,1516
Bekaa,1,English,Writing,37.02,65.04,1516
Bekaa,1,French,Compréhension écrite,54.5,44.11,535
Bekaa,1,French,Lecture de mots,28.77,64.99,557
Bekaa,1,French,Lecture de mots dans une phrase,26.0,71.99,557
Bekaa,1,French,Nom de la lettre,48.41,47.04,557
Bekaa,1,French,Son du graphème,45.92,49.55,557
Bekaa,1,French,Écriture et Production d’écrits,28.82,74.02,535
Mount Lebanon,1,Arabic,الكتابة والتعبير الكتابي,31.43,73.07,2321
Mount Lebanon,1,Arabic,فهم المقروء,33.92,67.73,2321
Mount Lebanon,1,English,Reading Comprehension,59.59,37.35,1724
Mount Lebanon,1,English,Writing,46.29,54.41,1724
Mount Lebanon,1,French,Compréhension écrite,67.08,27.24,591
Mount Lebanon,1,French,Lecture de mots,46.89,44.34,618
Mount Lebanon,1,French,Lecture de mots dans une phrase,42.8,49.19,618
Mount Lebanon,1,French,Nom de la lettre,64.17,29.61,618
Mount Lebanon,1,French,Son du graphème,61.21,34.14,618
Mount Lebanon,1,French,Écriture et Production d’écrits,41.93,59.73,591
Nabatieh,1,Arabic,الكتابة والتعبير الكتابي,38.65,61.22,1792
Nabatieh,1,Arabic,فهم المقروء,37.55,58.37,1792
Nabatieh,1,English,Reading Comprehension,64.24,29.86,1681
Nabatieh,1,English,Writing,47.06,53.18,1681
Nabatieh,1,French,Compréhension écrite,71.08,22.76,123
Nabatieh,1,French,Lecture de mots,55.94,28.69,122
Nabatieh,1,French,Lecture de mots dans une phrase,50.68,36.07,122
Nabatieh,1,French,Nom de la lettre,72.68,17.21,122
Nabatieh,1,French,Son du graphème,69.33,22.95,122
Nabatieh,1,French,Écriture et Production d’écrits,57.89,36.59,123
North,1,Arabic,الكتابة والتعبير الكتابي,28.46,76.0,8150
North,1,Arabic,فهم المقروء,32.36,68.76,8150
North,1,English,Reading Comprehension,58.56,33.24,352
North,1,English,Writing,40.17,65.91,352
North,1,French,Compréhension écrite,58.84,36.93,7821
North,1,French,Lecture de mots,36.63,54.93,8006
North,1,French,Lecture de mots dans une phrase,30.88,63.9,8006
North,1,French,Nom de la lettre,56.16,36.76,8006
North,1,French,Son du graphème,52.48,42.32,8006
North,1,French,Écriture et Production d’écrits,34.74,66.64,7821
South,1,Arabic,الكتابة والتعبير الكتابي,33.05,70.47,2496
South,1,Arabic,فهم المقروء,36.51,59.38,2496
South,1,English,Reading Comprehension,64.01,30.82,2414
South,1,English,Writing,47.81,53.94,2414
South,1,French,Compréhension écrite,75.4,18.06,72
South,1,French,Lecture de mots,40.97,50.0,72
South,1,French,Lecture de mots dans une phrase,39.81,52.78,72
South,1,French,Nom de la lettre,68.17,30.56,72
South,1,French,Son du graphème,61.69,38.89,72
South,1,French,Écriture et Production d’écrits,49.17,50.0,72
بعلبك والهرمل,1,Arabic,الكتابة والتعبير الكتابي,32.51,69.95,2196
بعلبك والهرمل,1,Arabic,فهم المقروء,33.95,66.53,2196
بعلبك والهرمل,1,English,Reading Comprehension,49.41,48.93,750
بعلبك والهرمل,1,English,Writing,36.37,62.93,750
بعلبك والهرمل,1,French,Compréhension écrite,59.1,38.85,1449
بعلبك والهرمل,1,French,Lecture de mots,46.46,43.83,1483
بعلبك والهرمل,1,French,Lecture de mots dans une phrase,37.6,55.97,1483
بعلبك والهرمل,1,French,Nom de la lettre,57.89,36.82,1483
بعلبك والهرمل,1,French,Son du graphème,56.74,38.37,1483
بعلبك والهرمل,1,French,Écriture et Production d’écrits,40.33,61.01,1449
