region_canonical,grade,cluster_label,performance_percentile_global,performance_percentile_within_grade,composite_overall,mean_z_avg,mean_z_ok,mean_z_size,subjects_covered,entries,strength_Arabic,strength_English,strength_French
Mount Lebanon,1,High,85.7,71.42857142857143,0.29804077546224056,0.30460400944781846,0.29147754147666266,0.262767708290731,3,12,0.1885778818083606,0.3622801666529086,0.3496029075012712
Nabatieh,1,High,100.0,100.0,0.7974344353754557,0.7895910956872051,0.8052777750637062,-0.37343309091510907,3,12,0.8668482896282761,0.6463556645525509,0.8015181228145437
South,1,High,97.6,85.71428571428571,0.4321515684972111,0.4612807001957014,0.4030224367987208,-0.28430118778169183,3,12,0.34823609317810594,0.6280143245202928,0.42280763336892063
Beirut,1,Low,2.4,14.285714285714285,-1.1195054573997456,-1.1382520918886356,-1.1007588229108556,-1.2973762693586415,3,12,-1.1452149605520752,-0.9799124165599847,-1.1488968022447796
Bekaa,1,Low,7.1,28.57142857142857,-0.3574633566812879,-0.35180527152753954,-0.3631214418350363,0.13101084024140533,3,12,-0.32871516703323256,-0.2446767438354508,-0.4142243540619372
Baalbek-Hermel,1,Medium,59.5,57.14285714285714,0.05746210699216517,0.05078030294206842,0.06414391104226191,0.2957257722108712,3,12,0.2779787107062462,-0.47295120950131153,0.08725547668060339
North,1,Medium,35.7,42.857142857142854,-0.10812007224603908,-0.1161987448566163,-0.10004139963546192,1.265606227312432,3,12,-0.2077108477356807,0.060890214170995605,-0.09806298405862292
Mount Lebanon,2,High,88.1,85.71428571428571,0.325293271547056,0.3317077955056967,0.31887874758841533,0.43829878122650817,3,17,0.11344621645366519,0.5627543958213658,0.2643713598505719
Nabatieh,2,High,95.2,100.0,0.40465029834411614,0.4130852048520365,0.39621539183619575,-0.16436609979170663,3,17,0.38674848477549656,0.6102864969006588,0.21393227776142307
South,2,High,81.0,71.42857142857143,0.22888949619686663,0.2305364694698608,0.22724252292387248,0.10275271124421004,3,17,0.0993836059019998,0.30651597539925496,0.25918459224020074
Beirut,2,Low,4.8,14.285714285714285,-0.5728249305204646,-0.5747554142581929,-0.5708944467827362,-1.1877649175191318,3,17,-0.4434684730058465,-0.6388967002706846,-0.6145502086990929
North,2,Low,19.0,28.57142857142857,-0.24937768499773103,-0.24502541151256577,-0.2537299584828962,0.622197371091338,3,17,-0.12637468765719556,-0.3988918661667881,-0.20236600161245344
Baalbek-Hermel,2,Medium,45.2,57.14285714285714,-0.06376567887703635,-0.06967183197147926,-0.05785952578259344,0.032094108814222026,3,17,0.02231038314442273,-0.3446371955156072,0.14537578607698523
Bekaa,2,Medium,42.9,42.857142857142854,-0.07286477169280595,-0.08587681208535561,-0.059852731300256305,0.15678804493455567,3,17,-0.05204552961254212,-0.09713110616819771,-0.06594780561763403
Nabatieh,3,High,92.9,100.0,0.37018323990643387,0.39785735310997733,0.3425091267028905,-0.12998452715621361,3,17,0.4045323788982646,0.46851966536008033,0.2432225319595951
South,3,High,71.4,85.71428571428571,0.18834745168176226,0.18906952948174732,0.18762537388177727,0.19324225093895642,3,17,-0.03687781839825917,0.2043490474119558,0.3600335810182533
Beirut,3,Low,9.5,14.285714285714285,-0.29835131403547344,-0.29924694318321143,-0.29745568488773544,-1.232662907903068,3,17,-0.21643621046227085,-0.5154242068285125,-0.14954100755343658
Bekaa,3,Low,33.3,42.857142857142854,-0.11055847297011573,-0.10779271367557408,-0.11332423226465738,0.03713348258363932,3,17,0.034786075261948504,-0.11507733272838945,-0.2271600700718955
North,3,Low,11.9,28.57142857142857,-0.29344179791407166,-0.30486717255188955,-0.28201642327625365,0.6352708164254701,3,17,-0.30547501377740105,-0.2943338458504374,-0.28252207009159797
Baalbek-Hermel,3,Medium,50.0,57.14285714285714,0.003955756137792872,-0.015986236458848113,0.02389774873443383,0.040551454778828336,3,17,0.029358735275668568,0.06838540772926027,-0.08164304473523763
Mount Lebanon,3,Medium,64.3,71.42857142857143,0.13986513719367194,0.14096618327779864,0.1387640911095452,0.4564494303323812,3,17,0.09011185320205026,0.18358126490604335,0.13761007947431855
Mount Lebanon,4,High,69.0,85.71428571428571,0.16621065847525385,0.16706220777292288,0.16535910917758478,0.4859961995033517,3,16,0.10614898253947402,0.2552482819266096,0.117214152314418
Nabatieh,4,High,90.5,100.0,0.3661569365848533,0.37085392326478156,0.3614599499049251,-0.12642898693153437,3,16,0.4723389905541716,0.44190402491860475,0.21962181227155642
Baalbek-Hermel,4,Low,26.2,14.285714285714285,-0.18950289675618837,-0.20322431392537876,-0.17578147958699794,-0.016107106164426975,3,16,0.03611950261728583,-0.3637939655633877,-0.16562676086463854
Beirut,4,Low,31.0,42.857142857142854,-0.11242116935805661,-0.10185548222360452,-0.12298685649250879,-1.1164958677445747,3,16,-0.4185452404225233,-0.03923601820088899,0.01847639352775347
North,4,Low,28.6,28.57142857142857,-0.1746635414930635,-0.18869311728162172,-0.16063396570450528,0.5693207162045959,3,16,-0.3761834560477341,-0.0066672983800394325,-0.20831317490297385
Bekaa,4,Medium,40.5,57.14285714285714,-0.08465840623729724,-0.08244192218977614,-0.0868748902848183,0.010549801204529984,3,16,0.13517929722456407,-0.18071247376915864,-0.13516280768001007
South,4,Medium,57.1,71.42857142857143,0.028878418784497803,0.038298704582675744,0.019458132986319848,0.193165243928054,3,16,0.04494192353475937,-0.1067425509317415,0.15379038533389608
Mount Lebanon,5,High,76.2,100.0,0.21250022353658937,0.21674422655679768,0.20825622051638115,0.5226030071648634,3,17,0.2164535673614015,0.22831187060170285,0.19339412328413255
Nabatieh,5,High,73.8,85.71428571428571,0.21147588324022581,0.22122629851353065,0.20172546796692103,-0.02121659614165959,3,17,0.2577937479491202,0.18977280811902786,0.19458073777067852
Baalbek-Hermel,5,Low,21.4,14.285714285714285,-0.23659109249095464,-0.2605132132344013,-0.21266897174750798,-0.1289976672162379,3,17,-0.2635476972148497,-0.3789573587846342,-0.07176098892736262
Beirut,5,Low,23.8,28.57142857142857,-0.20549444349261228,-0.18471358068546032,-0.22627530629976422,-1.1626996836642822,3,17,-0.5053145332344064,0.11569364348897038,-0.2768324556893665
Bekaa,5,Medium,61.9,71.42857142857143,0.05838035830299422,0.07424455999081671,0.04251615661517178,-0.07903854137640277,3,17,0.4219152394155161,-0.22129375077714228,0.0351087331226958
North,5,Medium,47.6,42.857142857142854,-0.05605283619621468,-0.08346713439391382,-0.02863853799851556,0.6406452398883625,3,17,-0.17370138542126334,0.16922552561887416,-0.18329074032376294
South,5,Medium,54.8,57.14285714285714,0.01578190709997139,0.016478843252629754,0.015084970947313014,0.22870424134535539,3,17,0.0464010611444843,-0.1027527382668026,0.10880059076298461
Mount Lebanon,6,High,83.3,100.0,0.25479487852121707,0.2612047242151258,0.2483850328273084,0.6431340870847231,3,16,0.19589424664515703,0.170144840587888,0.3787120043719196
Nabatieh,6,High,78.6,85.71428571428571,0.22222354478734668,0.22924171774446264,0.2152053718302307,-0.012552414186698287,3,16,0.17379995073926574,0.25059119622795073,0.22613828937879657
Baalbek-Hermel,6,Low,14.3,14.285714285714285,-0.2778855764427295,-0.2785937613549573,-0.2771773915305017,-0.10837079694202045,3,16,-0.36729381775749687,-0.3357678373345136,-0.16039782134110053
Beirut,6,Low,16.7,28.57142857142857,-0.26337809635532267,-0.25957476159908105,-0.2671814311115643,-1.0703980750966775,3,16,-0.09988447648432094,-0.27429326557483275,-0.36145867371648044
Bekaa,6,Medium,52.4,57.14285714285714,0.010663902417306415,0.010594205575342089,0.010733599259270768,-0.2233145059339033,3,16,0.13893745676119362,-0.022587805745312533,-0.04160009231599945
North,6,Medium,38.1,42.857142857142854,-0.0971670118793629,-0.10736790142530231,-0.08696612233342342,0.5712793278455182,3,16,-0.19080556775620863,0.14194996706449714,-0.2738582869053258
South,6,Medium,66.7,71.42857142857143,0.1507483589515453,0.14449577684440928,0.1570009410586813,0.20022237722906344,3,16,0.14935220785241426,0.06996290477432048,0.23246458052819086
